alpha_deg,branch,batch,iterations,C_L
19.0,downstroke,16,3200,1.037295248934423
19.0,downstroke,17,3400,0.7023288832522806
19.0,downstroke,18,3600,1.078068545682696
19.0,downstroke,19,3800,0.7623787390992349
19.0,downstroke,20,4000,0.3890927915778749
19.0,downstroke,21,4200,0.3605833690385193
19.0,downstroke,22,4400,1.090835142679974
19.0,downstroke,23,4600,0.7726773089601868
19.0,downstroke,24,4800,0.7331770231138272
19.0,downstroke,25,5000,0.6864598657565539
18.0,downstroke,1,200,1.62133728843048
18.0,downstroke,2,400,0.7928246837443493
18.0,downstroke,3,600,0.467973886496563
18.0,downstroke,4,800,1.555732443850228
18.0,downstroke,5,1000,1.468476585610452
18.0,downstroke,6,1200,0.8820306056592417
18.0,downstroke,7,1400,0.6192819600441989
18.0,downstroke,8,1600,0.309747320814859
18.0,downstroke,9,1800,1.606903883914031
18.0,downstroke,10,2000,1.603173861500262
18.0,downstroke,11,2200,1.541192256520903
18.0,downstroke,12,2400,1.583046116497853
18.0,downstroke,13,2600,1.043682767561716
18.0,downstroke,14,2800,1.585626183806512
18.0,downstroke,15,3000,1.573103806952483
18.0,downstroke,16,3200,1.565446953860689
18.0,downstroke,17,3400,1.593316668108086
18.0,downstroke,18,3600,1.554255078905812
18.0,downstroke,19,3800,1.594993881295917
18.0,downstroke,20,4000,1.569785596428535
18.0,downstroke,21,4200,1.567437179326716
18.0,downstroke,22,4400,1.572587772463256
18.0,downstroke,23,4600,1.571385715027747
17.0,downstroke,1,200,1.568661522521619
17.0,downstroke,2,400,1.568482592365232
17.0,downstroke,3,600,1.56849031582871
17.0,downstroke,4,800,1.568469097019979
17.0,downstroke,5,1000,1.568489076431742
17.0,downstroke,6,1200,1.568481411792403
17.0,downstroke,7,1400,1.568492563109166
17.0,downstroke,8,1600,1.568487252480024
17.0,downstroke,9,1800,1.568482901904073
17.0,downstroke,10,2000,1.568494267363459
16.0,downstroke,1,200,1.52985928981478
16.0,downstroke,2,400,1.529863020713486
16.0,downstroke,3,600,1.529857520597754
16.0,downstroke,4,800,1.529860549996578
16.0,downstroke,5,1000,1.529859361731534
16.0,downstroke,6,1200,1.529860798181314
16.0,downstroke,7,1400,1.529859981389977
16.0,downstroke,8,1600,1.529860916211243
16.0,downstroke,9,1800,1.529860979733428
16.0,downstroke,10,2000,1.529858169793325
15.0,downstroke,1,200,1.473072575240665
15.0,downstroke,2,400,1.47307030829699
15.0,downstroke,3,600,1.473071157314689
15.0,downstroke,4,800,1.473074332769505
15.0,downstroke,5,1000,1.473069145101532
15.0,downstroke,6,1200,1.473071944690485
15.0,downstroke,7,1400,1.473069185205377
